CustomerID,Recency,Frequency,Monetary,AvgBasketValue,CategoryDiversity,TotalItems,Cluster,SegmentName,IsOutlier
12388,16,6,2780.66,463.4433333333334,57,1462,3,Champions / VIP,False
12390,80,1,504.84000000000003,504.8400000000001,31,350,1,At risk / Lapsed,False
12391,22,1,460.89,460.89,92,300,0,Recent / Promising,False
12393,72,4,1582.6000000000001,395.65000000000003,47,816,2,Loyal / Core,False
12394,64,2,1080.48,540.24,25,808,2,Loyal / Core,False
12395,19,12,2682.63,223.5525,90,2097,3,Champions / VIP,False
12397,36,2,2214.9,1107.4500000000003,109,1250,2,Loyal / Core,False
12398,46,1,1435.66,1435.6599999999999,84,1389,2,Loyal / Core,False
12399,119,4,1033.65,258.4125,46,1173,2,Loyal / Core,False
12401,303,1,69.3,69.3,4,10,1,At risk / Lapsed,False
12402,323,1,195.6,195.6,10,92,1,At risk / Lapsed,False
12403,50,1,391.7,391.7,4,94,1,At risk / Lapsed,False
12405,149,1,1390.39,1390.3900000000003,53,849,1,At risk / Lapsed,False
12406,22,2,3415.3,1707.65,92,1818,2,Loyal / Core,False
12407,50,5,1507.1200000000001,301.42400000000004,56,1403,2,Loyal / Core,False
12408,33,5,2618.55,523.7099999999999,80,1391,2,Loyal / Core,False
12409,79,3,11072.67,3690.89,91,5551,2,Loyal / Core,False
12410,309,2,533.33,266.66499999999996,25,207,1,At risk / Lapsed,False
12412,75,3,1142.88,380.96000000000004,42,824,2,Loyal / Core,False
12413,67,3,686.1,228.70000000000002,28,282,2,Loyal / Core,False
12414,217,3,442.41,147.47,15,297,1,At risk / Lapsed,False
12415,24,20,124564.53,6228.2265,443,77373,3,Champions / VIP,True
12417,3,9,3226.1,358.4555555555556,157,1527,3,Champions / VIP,False
12418,113,1,668.58,668.58,34,407,1,At risk / Lapsed,False
12420,64,1,600.39,600.3900000000001,29,345,1,At risk / Lapsed,False
12421,16,4,639.04,159.76000000000002,31,478,0,Recent / Promising,False
12422,96,3,683.5600000000001,227.85333333333327,38,367,2,Loyal / Core,False
12423,1,8,1634.31,204.28875,96,1324,3,Champions / VIP,False
12424,163,2,1760.96,880.4799999999998,30,740,2,Loyal / Core,False
12425,78,1,777.2,777.1999999999999,36,496,1,At risk / Lapsed,False
12426,195,1,510.73,510.72999999999996,29,254,1,At risk / Lapsed,False
12427,22,3,699.8,233.26666666666665,25,526,0,Recent / Promising,False
12428,26,8,6405.26,800.6575,256,3509,3,Champions / VIP,False
12429,9,4,3388.4,847.1,81,1538,3,Champions / VIP,False
12430,43,1,216.4,216.4,10,116,1,At risk / Lapsed,False
12431,36,15,6382.45,425.49666666666667,162,2899,3,Champions / VIP,False
12432,43,4,4359.32,1089.8299999999997,106,1800,2,Loyal / Core,False
12433,1,7,13375.87,1910.8385714285716,219,11071,3,Champions / VIP,True
12434,85,2,806.14,403.07,46,394,2,Loyal / Core,False
12435,80,2,7829.89,3914.9450000000006,31,2055,2,Loyal / Core,False
12436,100,1,429.01000000000005,429.01,15,209,1,At risk / Lapsed,False
12437,2,18,4447.41,247.07833333333332,117,2894,3,Champions / VIP,False
12438,14,2,2466.85,1233.425,83,1169,2,Loyal / Core,False
12441,367,1,155.55,155.55,10,120,1,At risk / Lapsed,False
12442,3,1,144.06,144.06,11,181,0,Recent / Promising,False
12444,21,5,4085.46,817.092,137,1130,2,Loyal / Core,False
12445,22,1,77.4,77.4,3,60,0,Recent / Promising,False
12446,58,1,1002.3100000000001,1002.3100000000001,57,351,1,At risk / Lapsed,False
12447,243,1,431.49,431.49,25,187,1,At risk / Lapsed,False
12448,44,1,365.45,365.4500000000001,21,240,1,At risk / Lapsed,False
12449,22,4,3596.29,899.0725,117,1523,2,Loyal / Core,False
12450,156,2,197.88,98.94,7,128,1,At risk / Lapsed,False
12451,11,5,8995.52,1799.104,264,6574,3,Champions / VIP,False
12452,17,1,348.57,348.57,20,181,0,Recent / Promising,False
12453,134,1,707.09,707.0899999999999,43,473,1,At risk / Lapsed,False
12454,56,1,3528.34,3528.34,15,1006,2,Loyal / Core,False
12455,73,5,2339.86,467.97199999999975,84,2084,2,Loyal / Core,False
12456,44,3,2581.04,860.3466666666667,104,1618,2,Loyal / Core,False
12457,66,6,2043.23,340.53833333333324,52,835,2,Loyal / Core,False
12458,71,2,787.4,393.70000000000005,34,502,2,Loyal / Core,False
12461,155,1,626.88,626.88,34,282,1,At risk / Lapsed,False
12462,19,2,937.59,468.795,50,527,0,Recent / Promising,False
12463,53,4,1200.78,300.195,64,768,2,Loyal / Core,False
12464,10,8,957.05,119.63124999999998,5,95,3,Champions / VIP,False
12465,17,2,682.1899999999999,341.095,45,475,0,Recent / Promising,False
12468,188,2,657.54,328.77,35,362,1,At risk / Lapsed,False
12471,2,27,17424.05,645.3351851851853,148,8104,3,Champions / VIP,True
12472,32,7,6068.11,866.8728571428571,218,4120,3,Champions / VIP,False
12473,54,3,2596.23,865.41,138,2419,2,Loyal / Core,False
12474,17,18,6745.79,374.7661111111111,252,4812,3,Champions / VIP,False
12475,54,1,669.38,669.3799999999999,35,532,1,At risk / Lapsed,False
12476,16,11,5898.42,536.22,176,2357,3,Champions / VIP,False
12477,23,6,13219.74,2203.2900000000004,191,3653,3,Champions / VIP,False
12478,4,1,545.99,545.9900000000001,35,233,0,Recent / Promising,False
12479,11,1,473.2,473.20000000000005,30,382,0,Recent / Promising,False
12480,28,4,2885.63,721.4075,128,1685,2,Loyal / Core,False
12481,23,10,5020.32,502.032,149,3272,3,Champions / VIP,False
12483,17,8,1910.98,238.87250000000003,45,1094,3,Champions / VIP,False
12484,35,4,3953.72,988.43,255,2170,2,Loyal / Core,False
12488,10,3,1244.66,414.88666666666677,45,526,0,Recent / Promising,False
12489,336,1,298.93,298.93,14,103,1,At risk / Lapsed,False
12490,5,10,4859.93,485.99300000000005,130,3033,3,Champions / VIP,False
12491,39,1,424.40000000000003,424.40000000000003,24,258,0,Recent / Promising,False
12492,63,2,227.21,113.60500000000002,18,190,1,At risk / Lapsed,False
12493,166,2,415.74,207.87,19,206,1,At risk / Lapsed,False
12494,16,7,1084.1000000000001,154.87142857142857,62,698,2,Loyal / Core,False
12497,82,1,953.1,953.1,13,1231,1,At risk / Lapsed,False
12498,21,3,349.70000000000005,116.56666666666666,20,156,0,Recent / Promising,False
12500,23,11,4059.82,369.0745454545455,33,2667,3,Champions / VIP,False
12501,337,1,2025.39,2025.39,148,1775,1,At risk / Lapsed,False
12502,96,5,2995.87,599.174,101,794,2,Loyal / Core,False
12504,18,2,428.04999999999995,214.02499999999998,5,87,0,Recent / Promising,False
12506,233,1,73.5,73.50000000000001,23,23,1,At risk / Lapsed,False
12507,134,3,1052.81,350.93666666666667,18,885,2,Loyal / Core,False
12508,26,2,398.27,199.135,57,272,0,Recent / Promising,False
12509,284,1,158.5,158.5,6,54,1,At risk / Lapsed,False
12510,143,2,814.5699999999999,407.285,28,347,1,At risk / Lapsed,False
12512,66,2,138.03,69.015,31,99,1,At risk / Lapsed,False
12513,113,1,558.29,558.2900000000001,34,459,1,At risk / Lapsed,False
12514,267,1,1017.68,1017.6800000000001,51,440,1,At risk / Lapsed,False
12515,353,1,278.7,278.7,15,128,1,At risk / Lapsed,False
12516,78,2,1186.06,593.03,19,868,2,Loyal / Core,False
12517,28,4,2322.84,580.71,231,1361,2,Loyal / Core,False
12518,1,5,1840.89,368.178,83,1306,3,Champions / VIP,False
12519,64,1,286.84,286.84000000000003,16,180,1,At risk / Lapsed,False
12520,79,5,2346.2599999999998,469.25200000000007,120,1423,2,Loyal / Core,False
12521,143,1,545.68,545.68,37,306,1,At risk / Lapsed,False
12522,39,2,156.72,78.36000000000001,10,192,0,Recent / Promising,False
12523,19,11,1699.77,154.52454545454546,83,860,3,Champions / VIP,False
12524,9,8,3945.72,493.21500000000003,112,3669,3,Champions / VIP,False
12526,1,3,1172.66,390.88666666666677,63,624,0,Recent / Promising,False
12527,82,3,330.71000000000004,110.23666666666666,17,233,1,At risk / Lapsed,False
12528,9,6,1645.48,274.24666666666667,49,740,3,Champions / VIP,False
12530,60,4,1500.28,375.07000000000005,50,904,2,Loyal / Core,False
12531,15,1,125.22,125.22,17,45,0,Recent / Promising,False
12532,30,1,313.83000000000004,313.83,15,151,0,Recent / Promising,False
12534,131,1,981.18,981.1800000000001,62,645,1,At risk / Lapsed,False
12535,92,2,716.35,358.175,28,219,1,At risk / Lapsed,False
12536,59,1,4279.71,4279.71,259,2801,2,Loyal / Core,False
12538,29,1,363.95,363.95,21,191,0,Recent / Promising,False
12539,22,4,5568.35,1392.0874999999999,157,2067,2,Loyal / Core,False
12540,20,17,11580.24,681.190588235294,276,6620,3,Champions / VIP,False
12541,30,3,841.18,280.3933333333333,45,675,2,Loyal / Core,False
12544,36,1,316.7,316.70000000000005,18,134,0,Recent / Promising,False
12545,75,2,832.39,416.195,41,517,2,Loyal / Core,False
12546,47,2,1021.5,510.75,58,628,2,Loyal / Core,False
12547,198,2,151.79999999999998,75.9,6,132,1,At risk / Lapsed,False
12548,166,1,67.19999999999999,67.19999999999999,4,48,1,At risk / Lapsed,False
12550,79,1,824.83,824.8299999999999,56,564,1,At risk / Lapsed,False
12551,358,1,168.0,168.0,10,100,1,At risk / Lapsed,False
12552,40,1,317.82,317.82,19,85,0,Recent / Promising,False
12553,8,10,3278.28,327.828,94,1942,3,Champions / VIP,False
12556,50,2,603.71,301.85499999999996,100,358,0,Recent / Promising,False
12557,16,5,11990.960000000001,2398.192,15,4384,3,Champions / VIP,False
12558,8,1,269.96,269.96000000000004,11,196,0,Recent / Promising,False
12559,311,2,525.71,262.85499999999996,20,281,1,At risk / Lapsed,False
12560,5,2,1918.01,959.0050000000001,90,1098,0,Recent / Promising,False
12561,303,1,238.85,238.85,16,177,1,At risk / Lapsed,False
12562,8,7,3385.7400000000002,483.6771428571428,98,1757,3,Champions / VIP,False
12564,261,1,402.9,402.90000000000003,20,130,1,At risk / Lapsed,False
12565,289,1,145.92,145.92000000000002,9,80,1,At risk / Lapsed,False
12566,86,1,297.65,297.65,18,262,1,At risk / Lapsed,False
12567,23,10,8609.28,860.9279999999999,322,4261,3,Champions / VIP,False
12569,2,32,3152.69,98.5215625,91,1747,3,Champions / VIP,True
12571,40,2,519.61,259.805,31,523,0,Recent / Promising,False
12572,9,2,912.42,456.2099999999999,52,446,0,Recent / Promising,False
12573,227,1,160.54000000000002,160.54,26,84,1,At risk / Lapsed,False
12574,316,1,182.45000000000002,182.45000000000002,10,59,1,At risk / Lapsed,False
12576,36,5,1315.83,263.166,72,967,2,Loyal / Core,False
12577,35,3,653.85,217.94999999999996,136,471,2,Loyal / Core,False
12578,21,2,2402.51,1201.255,110,1182,2,Loyal / Core,False
12579,78,1,386.42,386.41999999999996,28,282,1,At risk / Lapsed,False
12580,247,1,379.7,379.7,23,236,1,At risk / Lapsed,False
12581,40,1,179.71,179.70999999999998,14,160,1,At risk / Lapsed,False
12582,239,2,351.36,175.67999999999995,20,296,1,At risk / Lapsed,False
12583,3,15,6705.38,447.0253333333333,114,5028,3,Champions / VIP,False
12584,4,9,2254.15,250.46111111111108,43,413,3,Champions / VIP,False
12585,234,2,1824.1,912.0499999999998,76,1267,2,Loyal / Core,False
12586,17,1,196.94000000000003,196.94000000000003,11,79,0,Recent / Promising,False
12587,8,1,104.0,104.0,3,50,0,Recent / Promising,False
12588,39,1,174.89999999999998,174.89999999999998,9,52,1,At risk / Lapsed,False
12589,29,2,574.68,287.34000000000003,28,302,0,Recent / Promising,False
12590,211,1,9341.26,9341.26,67,4282,2,Loyal / Core,False
12591,317,1,368.85,368.84999999999997,25,225,1,At risk / Lapsed,False
12592,92,2,401.6,200.8,10,288,1,At risk / Lapsed,False
12593,109,3,382.09999999999997,127.36666666666663,13,204,1,At risk / Lapsed,False
12594,38,9,3208.2200000000003,356.4688888888889,49,1772,3,Champions / VIP,False
12596,51,2,450.27,225.135,24,468,0,Recent / Promising,False
12597,19,4,3195.22,798.8050000000001,183,2214,2,Loyal / Core,False
12598,10,7,2807.08,401.0114285714285,83,1952,3,Champions / VIP,False
12599,29,7,888.58,126.94000000000004,31,948,2,Loyal / Core,False
12600,29,10,2311.04,231.10399999999998,31,758,3,Champions / VIP,False
12601,190,5,487.06,97.41199999999999,20,240,2,Loyal / Core,False
12602,59,1,153.12,153.12,12,162,1,At risk / Lapsed,False
12603,22,1,613.1999999999999,613.1999999999999,1,56,0,Recent / Promising,False
12604,79,2,236.18,118.08999999999997,14,200,1,At risk / Lapsed,False
12607,60,1,1579.51,1579.51,101,1228,2,Loyal / Core,False
12609,78,3,964.85,321.6166666666667,56,639,2,Loyal / Core,False
12610,23,4,1747.54,436.8850000000001,84,1039,2,Loyal / Core,False
12611,52,1,1193.32,1193.32,65,846,2,Loyal / Core,False
12612,74,1,668.0400000000001,668.04,18,260,1,At risk / Lapsed,False
12613,57,4,3092.38,773.095,123,1630,2,Loyal / Core,False
12614,278,1,315.6,315.59999999999997,20,76,1,At risk / Lapsed,False
12615,2,4,2093.19,523.2975000000001,81,1365,3,Champions / VIP,False
12616,95,2,641.3,320.65,24,280,1,At risk / Lapsed,False
12617,29,1,355.53,355.53000000000003,39,213,0,Recent / Promising,False
12618,22,1,137.31,137.31,10,95,0,Recent / Promising,False
12619,16,8,2945.56,368.19499999999994,48,3360,3,Champions / VIP,False
12620,15,3,1303.41,434.47,88,1179,2,Loyal / Core,False
12621,2,20,12411.67,620.5835000000001,260,7369,3,Champions / VIP,True
12622,232,1,162.1,162.09999999999997,10,68,1,At risk / Lapsed,False
12623,276,1,269.1,269.1,17,189,1,At risk / Lapsed,False
12624,106,2,569.13,284.565,35,351,1,At risk / Lapsed,False
12625,212,2,2413.82,1206.9100000000003,72,1597,2,Loyal / Core,False
12626,23,9,5954.48,661.6088888888889,231,3416,3,Champions / VIP,False
12627,11,6,4082.53,680.4216666666666,161,2730,3,Champions / VIP,False
12628,4,3,732.46,244.15333333333334,33,445,0,Recent / Promising,False
12630,10,2,1030.88,515.44,59,542,0,Recent / Promising,False
12631,57,1,480.5,480.50000000000006,30,232,1,At risk / Lapsed,False
12633,59,4,1929.98,482.495,72,1149,2,Loyal / Core,False
12635,90,2,1509.18,754.5900000000001,95,1162,2,Loyal / Core,False
12637,67,8,5823.9,727.9875,204,2991,2,Loyal / Core,False
12638,33,1,511.69,511.6900000000001,38,573,0,Recent / Promising,False
12639,239,1,366.1,366.1,21,198,1,At risk / Lapsed,False
12640,24,3,994.58,331.5266666666667,46,301,2,Loyal / Core,False
12641,115,1,145.9,145.9,9,71,1,At risk / Lapsed,False
12642,25,3,905.26,301.7533333333333,38,546,2,Loyal / Core,False
12643,128,6,3041.64,506.94,10,1788,2,Loyal / Core,False
12644,130,1,477.91,477.90999999999997,31,325,1,At risk / Lapsed,False
12645,34,4,1631.18,407.79499999999996,57,1076,2,Loyal / Core,False
12646,5,2,1346.97,673.485,43,897,0,Recent / Promising,False
12647,22,12,3146.82,262.235,77,1399,3,Champions / VIP,False
12648,155,1,300.05,300.04999999999995,20,159,1,At risk / Lapsed,False
12649,107,3,569.51,189.83666666666667,27,583,2,Loyal / Core,False
12650,3,1,242.44000000000003,242.44,19,250,0,Recent / Promising,False
12651,335,1,114.0,114.0,9,78,1,At risk / Lapsed,False
12652,331,1,793.98,793.98,47,498,1,At risk / Lapsed,False
12653,149,2,2209.85,1104.925,37,919,2,Loyal / Core,False
12654,11,5,529.98,105.99600000000001,30,260,0,Recent / Promising,False
12656,17,5,3619.17,723.8340000000001,88,1699,2,Loyal / Core,False
12657,11,4,1427.18,356.795,34,1032,2,Loyal / Core,False
12658,19,1,632.05,632.05,35,317,0,Recent / Promising,False
12659,30,1,73.68,73.68,4,104,1,At risk / Lapsed,False
12660,11,1,227.1,227.10000000000002,12,126,0,Recent / Promising,False
12662,1,11,3543.78,322.16181818181815,128,2041,3,Champions / VIP,False
12664,8,9,4391.88,487.9866666666667,9,1188,3,Champions / VIP,False
12665,325,1,45.0,45.0,2,36,1,At risk / Lapsed,False
12667,58,1,460.13,460.13,32,391,1,At risk / Lapsed,False
12668,12,4,3177.15,794.2875000000001,114,1599,2,Loyal / Core,False
12669,151,2,1427.73,713.865,96,1104,2,Loyal / Core,False
12670,10,5,2744.05,548.81,57,1383,3,Champions / VIP,False
12672,330,1,225.89999999999998,225.9,10,78,1,At risk / Lapsed,False
12673,5,2,574.52,287.26,41,349,0,Recent / Promising,False
12674,39,4,1844.6,461.15,51,1126,2,Loyal / Core,False
12676,25,6,1091.39,181.89833333333334,32,664,2,Loyal / Core,False
12678,42,10,16481.46,1648.146,104,10901,3,Champions / VIP,False
12679,59,4,951.02,237.75500000000002,42,545,2,Loyal / Core,False
12680,1,4,790.81,197.70250000000001,32,439,0,Recent / Promising,False
12681,15,22,12365.54,562.07,266,7457,3,Champions / VIP,True
12682,4,31,11028.22,355.7490322580646,208,5505,3,Champions / VIP,True
12683,4,14,7612.57,543.755,176,4934,3,Champions / VIP,False
12684,8,6,2073.63,345.605,59,1973,3,Champions / VIP,False
12685,28,6,2575.08,429.18,116,1507,2,Loyal / Core,False
12686,372,1,71.14,71.14,6,106,1,At risk / Lapsed,False
12688,114,1,4873.8099999999995,4873.8099999999995,171,3028,2,Loyal / Core,False
12689,26,2,1139.61,569.805,56,622,0,Recent / Promising,False
12690,206,1,335.01,335.00999999999993,15,103,1,At risk / Lapsed,False
12691,28,5,927.8,185.56,20,388,2,Loyal / Core,False
12693,127,4,711.91,177.9775,34,247,2,Loyal / Core,False
12694,70,2,761.67,380.835,31,503,2,Loyal / Core,False
12695,7,4,582.1,145.525,23,220,0,Recent / Promising,False
12697,29,3,757.59,252.53,36,503,2,Loyal / Core,False
12700,8,4,4525.99,1131.4975,192,2944,3,Champions / VIP,False
12701,80,2,725.71,362.855,49,674,2,Loyal / Core,False
12702,20,1,201.0,201.0,11,52,0,Recent / Promising,False
12703,71,1,265.55,265.55,20,163,1,At risk / Lapsed,False
12704,7,8,1740.84,217.60500000000002,63,991,3,Champions / VIP,False
12705,15,8,6382.29,797.7862500000001,227,3970,3,Champions / VIP,False
12707,292,1,603.42,603.42,33,256,1,At risk / Lapsed,False
12708,30,10,2442.91,244.291,85,1292,3,Champions / VIP,False
12709,15,15,9430.52,628.7013333333332,92,3919,3,Champions / VIP,False
12710,97,3,1023.02,341.0066666666667,74,844,2,Loyal / Core,False
12712,29,13,3928.13,302.1638461538462,57,1036,3,Champions / VIP,False
12713,1,1,794.55,794.5500000000002,37,505,0,Recent / Promising,True
12714,9,5,4294.86,858.9720000000001,215,3046,3,Champions / VIP,False
12715,106,1,273.86,273.85999999999996,19,195,1,At risk / Lapsed,False
12716,4,2,963.49,481.74500000000006,59,703,0,Recent / Promising,False
12717,151,2,830.98,415.48999999999995,48,502,1,At risk / Lapsed,False
12718,71,1,202.25,202.25,18,201,1,At risk / Lapsed,False
12719,5,2,572.95,286.475,33,370,0,Recent / Promising,False
12720,3,25,5115.7300000000005,204.62920000000003,210,4635,3,Champions / VIP,False
12721,32,6,2386.13,397.68833333333333,132,1944,2,Loyal / Core,False
12722,85,4,979.63,244.90750000000003,49,565,2,Loyal / Core,False
12723,4,5,707.07,141.41400000000002,52,433,0,Recent / Promising,False
12724,5,4,923.41,230.8525,46,439,0,Recent / Promising,False
12725,371,1,371.8,371.79999999999995,23,162,1,At risk / Lapsed,False
12726,28,7,2411.1,344.4428571428571,56,3132,2,Loyal / Core,False
12727,11,7,3440.7,491.52857142857147,108,2068,3,Champions / VIP,False
12728,71,4,728.33,182.08249999999998,37,413,2,Loyal / Core,False
12729,114,1,417.01,417.01000000000005,25,231,1,At risk / Lapsed,False
12731,24,12,18751.91,1562.6591666666666,108,8429,3,Champions / VIP,True
12732,180,1,218.26000000000002,218.26000000000005,11,110,1,At risk / Lapsed,False
12733,234,1,383.95,383.95000000000005,22,137,1,At risk / Lapsed,False
12734,353,1,110.39999999999999,110.39999999999999,4,88,1,At risk / Lapsed,False
12735,315,2,689.5699999999999,344.78499999999997,37,363,1,At risk / Lapsed,False
12736,333,1,144.0,144.0,3,168,1,At risk / Lapsed,False
12738,372,1,137.35,137.35,10,147,1,At risk / Lapsed,False
12739,99,1,975.54,975.5400000000001,37,485,1,At risk / Lapsed,False
12740,64,1,427.6,427.59999999999997,27,342,1,At risk / Lapsed,False
12743,134,2,546.43,273.21500000000003,114,319,1,At risk / Lapsed,False
12744,56,4,9120.39,2280.0975,177,5234,2,Loyal / Core,False
12747,2,11,4196.01,381.4554545454545,42,1275,3,Champions / VIP,False
12748,1,206,32317.32,156.8801941747573,1766,25511,3,Champions / VIP,True
12749,4,5,4090.88,818.176,160,1471,3,Champions / VIP,False
12750,129,1,275.88,275.88,15,137,1,At risk / Lapsed,False
12752,81,1,4366.78,4366.780000000001,53,2262,2,Loyal / Core,False
12753,23,6,21429.39,3571.565,132,11421,3,Champions / VIP,True
12754,236,3,3010.74,1003.58,49,6481,2,Loyal / Core,False
12755,281,2,3811.95,1905.9749999999997,4,1491,2,Loyal / Core,False
12756,87,1,112.07999999999998,112.08000000000001,4,144,1,At risk / Lapsed,False
12757,16,9,4199.2,466.5777777777778,235,2394,3,Champions / VIP,False
12758,117,2,2791.59,1395.795,84,2135,2,Loyal / Core,False
12759,52,3,1411.44,470.48,80,894,2,Loyal / Core,False
12762,8,2,1702.52,851.2600000000001,61,1220,0,Recent / Promising,False
12763,138,2,494.08,247.04000000000002,16,316,1,At risk / Lapsed,False
12764,317,1,1693.88,1693.88,45,386,1,At risk / Lapsed,False
12766,4,7,6457.63,922.5185714285716,204,3627,3,Champions / VIP,False
12769,239,1,1143.6,1143.6,32,356,1,At risk / Lapsed,False
12770,211,1,1351.45,1351.4499999999998,12,743,1,At risk / Lapsed,False
12772,60,1,752.47,752.4700000000001,54,551,1,At risk / Lapsed,False
12775,17,5,1281.04,256.208,46,870,2,Loyal / Core,False
12778,20,6,693.23,115.53833333333334,39,817,2,Loyal / Core,False
12779,38,8,3981.36,497.66999999999996,88,2024,2,Loyal / Core,False
12781,64,2,786.74,393.37,24,670,2,Loyal / Core,False
12782,5,5,1938.92,387.784,80,1072,3,Champions / VIP,False
12783,2,4,1295.87,323.96750000000003,74,611,0,Recent / Promising,False
12784,15,1,518.42,518.4200000000001,53,298,0,Recent / Promising,False
12785,364,1,255.95,255.95,13,129,1,At risk / Lapsed,False
12787,10,3,418.66,139.55333333333334,16,258,0,Recent / Promising,False
12789,65,1,76.85,76.85000000000001,3,3,1,At risk / Lapsed,False
12790,192,1,294.92,294.9200000000001,20,164,1,At risk / Lapsed,False
12791,374,1,177.60000000000002,177.60000000000002,1,96,1,At risk / Lapsed,False
12792,257,1,344.53999999999996,344.53999999999996,24,215,1,At risk / Lapsed,False
12793,335,2,461.48,230.74,20,292,1,At risk / Lapsed,False
12794,53,2,860.41,430.205,43,592,2,Loyal / Core,False
12795,19,1,318.48,318.48,13,64,0,Recent / Promising,False
12797,366,1,226.03,226.03,12,117,1,At risk / Lapsed,False
12798,10,3,6977.04,2325.68,6,5256,3,Champions / VIP,False
12802,187,1,397.58,397.58000000000004,24,312,1,At risk / Lapsed,False
12808,37,3,455.65000000000003,151.88333333333333,26,187,0,Recent / Promising,False
12809,178,1,405.31,405.31,24,217,1,At risk / Lapsed,False
12811,262,2,458.85,229.42499999999998,26,227,1,At risk / Lapsed,False
12812,45,1,229.64000000000001,229.64,15,164,1,At risk / Lapsed,False
12814,102,1,85.92,85.92,1,48,1,At risk / Lapsed,False
12815,148,2,863.46,431.72999999999996,37,374,1,At risk / Lapsed,False
12816,96,2,452.20000000000005,226.1,26,125,1,At risk / Lapsed,False
12817,281,1,126.03999999999999,126.03999999999999,3,52,1,At risk / Lapsed,False
12818,262,1,1182.0800000000002,1182.08,13,920,1,At risk / Lapsed,False
12820,3,4,942.34,235.585,55,722,0,Recent / Promising,False
12821,214,1,92.72,92.72,6,70,1,At risk / Lapsed,False
12822,71,2,948.88,474.4400000000001,41,550,2,Loyal / Core,False
12823,75,5,1759.5,351.9,1,230,2,Loyal / Core,False
12824,60,1,397.12,397.11999999999995,25,232,1,At risk / Lapsed,False
12826,3,7,1474.72,210.67428571428573,58,1058,3,Champions / VIP,False
12827,6,3,430.15000000000003,143.38333333333333,19,197,0,Recent / Promising,False
12828,3,6,1018.71,169.785,46,494,3,Champions / VIP,False
12829,337,2,293.0,146.5,9,376,1,At risk / Lapsed,False
12830,38,6,6814.64,1135.7733333333335,13,9848,2,Loyal / Core,False
12831,262,1,215.05,215.05,9,135,1,At risk / Lapsed,False
12832,32,2,383.03,191.51500000000001,27,195,0,Recent / Promising,False
12833,145,1,417.38,417.38,24,156,1,At risk / Lapsed,False
12834,283,1,312.38,312.38,18,110,1,At risk / Lapsed,False
12836,59,4,2612.86,653.2149999999999,148,1064,2,Loyal / Core,False
12837,173,1,134.1,134.1,12,24,1,At risk / Lapsed,False
12838,34,2,683.13,341.565,115,359,0,Recent / Promising,False
12839,3,14,5591.42,399.38714285714286,95,3807,3,Champions / VIP,False
12840,144,4,2726.77,681.6925,67,1511,2,Loyal / Core,False
12841,5,25,4022.35,160.894,229,2757,3,Champions / VIP,False
12842,70,2,1118.99,559.495,34,547,2,Loyal / Core,False
12843,66,8,1702.26,212.78250000000003,69,781,2,Loyal / Core,False
